id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
140,José Mina,José Mina*1969,,,,d.491,,1969,8,26,,,,1969-08-26,1969-09-07,12,José Mina,,,,,,Sala única,,,,,,,,,,141
142,IX Festival de Arte - Salón de Las Américas de Dibujo y Grabado,IX Festival de Arte - Salón de Las Américas de Dibujo y Grabado*1969,,,,,,1969,9,,,,,1969-09-01,1900-01-01,#NUM!,"Rodolfo Abularach , José R. Alicea , Emilio Sánchez, José Bermúdez , Robert Breer, Jon Carsman, Hsiao Chin, Christo, Walter de María, Robert Indiana, Raul Jenkins, Nicholas Krushenick, Sol Lewitt, John Manning, Peter W. Milton, Robert Nelson, Loise Nevelsol, Thom O'Connor, Robert Smithson, Carlos Summers, William Weege, Tsai Wen Yin , Santiago Cárdenas, Umberto Giangrandi, Enrique Grau, Carlos Lersundy García, Ómar Rayo, Bernardo Salcedo, Lucy Tejada, Anita de Uribe, José Luis Cuevas , Zulema Damianovich , Juan Gómez, Sergio González Tornero,Luis Alberto Solari",,,,,,Sala única,,,,,,,,,,142
141,IX Festival de Arte - Salón de Las Américas de Pintura,IX Festival de Arte - Salón de Las Américas de Pintura*1969,,,,,,1969,9,19,,,,1969-09-19,1900-01-01,#NUM!,"Mauricio Aguilar , Álvaro Barrios, Santiago Cárdenas, Manuel Guillermo Cantor, Hernando del Villar, Beatriz González, Carlos Granada, Enrique Grau, Manuel Hernández, Álvaro Herrán, Ana Mercedes Hoyos, Luciano Jaramillo, David Manzur, José Mina, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Carlos Rojas, Bernardo Salcedo, Hernando Tejada, Lucy Tejada, Alejandro Obregón, María Thereza Negreiros, Jan Bartelsman, Waldo Balart , Arnold Belkin, Enrique Castrocid, Juan Downey, Juan Gómez , Alfredo da Silva, María Luisa Pacheco , Geny Dignac, Fernando Maza, Miguel Ocampo, César Paternosto, Alejandro Puente, Luis Molinari-Flores, Armando Morales,Rubens Gerchman",,,,,,Sala única,,,,"Empresas Municipales de Cali, Banco de la República, Banco de Colombia, Industria de Licores del Valle, Ingenio Ingenio Manuelita, Banco Cafetero, Ceat General, Laboratorios JGB, Central de Anchicayá, Instituto Colombiano de Seguros Sociales, Beneficencia del Valle, Instituto de Crédito Territorial, Colteger, Celanese de Colombia, Colombiana de Esmaltes, Canada Dry, SENA, Ingenio Río Paila, Ferrocarriles Nacionales, Federación Nacional de Cafeteros, Carvajal, Plaza de Toros de Cali, Asocaña, Colgate Palmolive, Quaker, Igenio Providencia, Marañón, Eternit Pacífico, Gaseosas Postobón, ANDI, Central Castilla, Ultratex, Laboratorios Carlo Erba, Textiles El Cedro, Ingenio Mayagüez, Compañías Tecnoquímicas, CICOLAC, Silva Ltda, Compañía Colombiana de Tabaco, Aluminio Munal, Ferretería Electra, Jaime Upegui, La Garantía, Molinos Dagua, Laboratorios Recamier, Sofía de Urdinola, Inversiones Urdinola, Atila de Colombia, Unión Carbide, Cuéllar Serrano Gómez, Urbanización Gran Limonar, Laboratorios Lafrancol, Banco Comercial Antioqueño, General Metálicas, First National City Bank, Braniff International, Fantasías Femeninas, Panamerican World Airways, Ashe y Cia., Panturismo, CODEMACO, Pagnamenta",,,,,,143
143,Muestra de pintura infantil,Muestra de pintura infantil*1969,,,,,,1969,10,10,,,,1969-10-10,1969-10-24,14,Varios,,,,,,Sala única,,,,,,,,,,144
144,Jan Bartelsman,Jan Bartelsman*1969,,,,,,1969,11,7,,,,1969-11-07,1900-01-01,#NUM!,Jan Bartelsman,,,,,,Sala única,,,,,,,,,,145
145,Exposición de grabado mexicano,Exposición de grabado mexicano*1969,,,,,,1969,11,25,,,,1969-11-25,1900-01-01,#NUM!,Varios,,,,,,Sala única,,,,Embajada de México,,,,,,146
146,Eduardo McEntyre,Eduardo McEntyre*1969,,Hugo Parpagnoli,,d.341,,1969,12,15,,,,1969-12-15,1900-01-01,#NUM!,Eduardo Mac Entyre,,,,Juan Mathé,,Sala única,,,,Embajada de Argentina,,,d67.pdf,,,147
147,Gustavo Espinosa,Gustavo Espinosa*1970,,,,d.498,,1970,1,20,,,,1970-01-20,1900-01-01,#NUM!,Gustavo Espinosa,,,,,,Sala única,,,,,,,,,,148
148,Feliza Burztyn,Feliza Burztyn*1970,,,,,,1970,2,20,,,,1970-02-20,1970-03-13,21,Feliza Bursztyn,,,,,,Sala única,,,,,,,,,,149
826,Francisco Todó,Francisco Todó*1970,,,,d.499,,1970,3,13,,,,1970-03-13,1900-01-01,#NUM!,Francisco Todó,,,,,,,,,,,,,,,,150
149,Enrique Tábara,Enrique Tábara*1970,,Marta Traba,,d.500,,1970,4,3,,,,1970-04-03,1900-01-01,#NUM!,Enrique Tábara,,,,,,Sala única,,,,Galería Siglo XX de Quito,,,,,,151
150,Pedro Alcántara,Pedro Alcántara*1970,,,,,,1970,5,22,,,,1970-05-22,1900-01-01,#NUM!,Pedro Alcántara Herrán,,,,,,Sala única,,,,,,,,,,152
