nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Ignacio Gómez Pulido,191,Ignacio,Gómez Pulido,,,,,,Colombia,,,artista,,2,,,,
Hilda Crovo,192,Hilda,Crovo,,,,,,Argentina,,,artista,,2,,,,
Herman Braun-Vega,193,Herman,Braun-Vega,,,1933,,M,Perú,Perú,Lima,artista,,3,,,,
H. Yoshihara,194,H.,Yoshihara,,,,,,Japón,,,artista,,2,,,,
Guillermo Trujillo,195,Guillermo,Trujillo,,,,,,Panamá,,,artista,,2,,,,
Gracia Barrios,196,Gracia,Barrios,,,1926,,F,Chile,Chile,Santiago de Chile,artista,,2,,,,
Gloria Duncan,197,Gloria,Duncan,,,,,,Colombia,,,artista,,2,,,,
Germán Londoño,198,Germán,Londoño,,,1961,,M,Colombia,Colombia,Medellín ,artista,,2,,,,
Gabriel Messil,199,Gabriel,Messil,,,,,,Argentina,,,artista,,2,,,,
Fernando Botero,200,Fernando,Botero,,,1932,,,Colombia,Colombia,Medellín,artista,,2,,,,
Fernando Maza,201,Fernando,Maza,,,,,,Argentina,,,artista,,2,,,,
Enrique Aguirrezabala,202,Enrique,Aguirrezabala,,,,,,Argentina,,,artista,,2,,,,
Elías Heim,203,Elías,Heim,,,1966,,M,Colombia,Colombia,Cali,artista,,2,,,,
Eduardo Audivert,204,Eduardo,Audivert,,,,,,Argentina,,,artista,,2,,,,
Édgar Álvarez,205,Édgar,Álvarez,,,,,,Colombia,,,artista,,2,,,,
Diego Mazuera,206,Diego,Mazuera,,,1950,,M,Colombiana,Colombia,Bogotá,artista,,2,,,,
David Alfaro Siqueiros,207,David Alfaro,Siqueiros,,,1896,1974,M,México,México,Chihuahua,artista,,2,,,,
Danilo Dueñas,208,Danilo,Dueñas,,,,,,Colombia,,,artista,,2,,,,
Dana W. Atchley,209,Dana W.,Atchley,,,,,,Canadá,,,artista,,2,,,,
Cecilia Coronel,210,Cecilia,Coronel,,,,,,Colombia,,,artista,,1,,,,
Cecilia Delgado,211,Cecilia,Delgado,,,,,,Colombia,,,artista,,2,,,,
Carlos Jacanamijoy Tisoy,212,Carlos,Jacanamijoy Tisoy,,,1964,,M,Colombia,Colombia ,Putumayo ,artista,,2,,,,
Carlos Lersundy García,213,Carlos,Lersundy García,,,,,,Colombia,,,artista,,2,,,,
Carlos Salas Silva,214,Carlos,Salas Silva,,Carlos Salas,1957,,M,Colombia,Colombia,Pitalito ,artista,,2,,,,
Bibiana Vélez,215,Bibiana,Vélez,,,1956,,,Colombia,Colombia,Cartagena,artista,,2,,,,
Becky Mayer,216,Becky,Mayer,,,1944,,,Colombia,Colombia,Bogotá,artista,,2,,,,
Beatriz Daza,217,Beatriz,Daza,,,,,,Colombia,,,artista,,2,,,,
Augusto Rivera,218,Augusto,Rivera,,,,,,Colombia,,,artista,,2,,,,
Arturo Kubotta,219,Arturo,Kubotta,,,,,,Perú,,,artista,,2,,,,
Antonio Frasconi,220,Antonio,Frasconi,,,,,,Uruguay,,,artista,,2,,,,
Anne Meredith Barry,221,Anne,Meredith Barry,,,,,,Canadá,,,artista,,2,,,,
Ángela Villegas,222,Ángela,Villegas,,,1974,,F,Colombia,Colombia ,Cali,artista,,1,,,,
Ana María Rueda,223,Ana María,Rueda,,,1954,,F,Colombia,Colombia ,Ibagué ,artista,,2,,,,
Ana Tiscornia,224,Ana,Tiscornia,,,,,,Uruguay,,,artista,,2,,,,
Allan D'Arcangelo,225,Allan,D'Arcangelo,,,,,,Estados Unidos,,,artista,,2,,,,
Alfredo Castañeda,226,Alfredo,Castañeda,,,,,,México,,,artista,,2,,,,
Alfredo Guerrero,227,Alfredo,Guerrero,,,1936,,M,Colombia,Colombia,Cartagena,artista,,2,,,,
Alexis Gorodine,228,Alexis,Gorodine,,,,,,Venezuela,,,artista,,2,,,,
Alejandro Otero,229,Alejandro,Otero,,,,,,Venezuela,,,artista,,2,,,,
Aldo Menéndez,230,Aldo,Menéndez,,,,,,Cuba,,,artista,,2,,,,
Alberto Lenis Burckhardt,231,Alberto,Lenis Burckhardt,,,,,,Colombia,,,artista,,2,,,,
Agustín Fernández,232,Agustín,Fernández,,,,,,Cuba,,,artista,,2,,,,
Adolfo Bernal,233,Adolfo,Bernal,,,,,,Colombia,,,artista,,2,,,,
Zulay Herrera,234,Zulay,Herrera,,,,,,Venezuela,,,artista,,1,,,,
Yairo Mejía,235,Yairo,Mejía,,,,,,Colombia,,,artista,,1,,,,
Wilma Martins,236,Wilma,Martins,,,,,,Brasil,,,artista,,1,,,,
William Stone,237,William,Stone,,,,,,Venezuela,,,artista,,1,,,,
William Weege,238,William,Weege,,,,,,Estados Unidos,,,artista,,1,,,,
Willem De Kooning,239,Willem,De Kooning,,,,,,Estados Unidos,,,artista,,1,,,,
Warrington Colescott,240,Warrington,Colescott,,,,,,Estados Unidos,,,artista,,1,,,,
Vlady Kibalchich,241,Vlady,Kibalchich,,,,,,México,,,artista,,0,,,,
Vivian Monsalve,242,Vivian,Monsalve,,,1957,,F,Colombia,Colombia,Cali ,artista,,1,,,,
Virginia Amaya,243,Virginia,Amaya,,,,,,Colombia,,,artista,,1,,,,
Víctor Rebuffo,244,Víctor,Rebuffo,,,,,,Argentina,,,artista,,1,,,,
Víctor Valera,245,Víctor,Valera,,,,,,Venezuela,,,artista,,1,,,,
Victor Rebuffo,246,Victor,Rebuffo,,,,,,Argentina,,,artista,,1,,,,
Vicente Rojo,247,Vicente,Rojo,,,,,,México,,,artista,,1,,,,
Toshihiro Katayama,248,Toshihiro,Katayama,,,,,,Estados Unidos,,,artista,,1,,,,
Tony Onley,249,Tony,Onley,,,,,,Canadá,,,artista,,1,,,,
Tomás Gonda,250,Tomás,Gonda,,,,,,Argentina,,,artista,,1,,,,
Tino Stefanoni,251,Tino,Stefanoni,,,,,,Italia,,,artista,,1,,,,
Thom O'Connor,252,Thom,O'Connor,,,,,,Estados Unidos,,,artista,,1,,,,
Tancredo De Araújo,253,Tancredo,De Araújo,,,,,,Brasil,,,artista,,1,,,,
Tamiji Kitagawa,254,Tamiji,Kitagawa,,,,,,Japón,,,artista,,0,,,,
Tadeo Castro,255,Tadeo,Castro,,,,,,Perú,,,artista,,1,,,,
Susy Dembo,256,Susy,Dembo,,,,,,Venezuela,,,artista,,1,,,,
Susana Sierra,257,Susana,Sierra,,,,,,México,,,artista,,1,,,,
Susan Hudson,258,Susan,Hudson,,,,,,Canadá,,,artista,,1,,,,
Sonnylal Rambissoon,259,Sonnylal,Rambissoon,,,,,,Trinidad,,,artista,,1,,,,
Sonia Von Brusky,260,Sonia,Von Brusky,,,,,,Brasil,,,artista,,1,,,,
Sofía Urrutia,261,Sofía,Urrutia,,,,,,Colombia,,,artista,,1,,,,
Simón Gouverneur,262,Simón,Gouverneur,,,,,,Venezuela,,,artista,,1,,,,
Seymour Chwast,263,Seymour,Chwast,,,,,,Estados Unidos,,,artista,,1,,,,
Servando Cabrera Moreno,264,Servando,Cabrera Moreno,,,,,,Cuba,,,artista,,1,,,,
