id_nodo,nombre_nodo,ano_apa,subclass,attr,class_nodo
o.2271,Tuluá*Jaime González*1999,1999,bidimensional,Jaime González,obra
o.2272,Dopa*Jaime González*1998,1998,bidimensional,Jaime González,obra
o.3332,El trompo rojo*Jaime Valencia*1988,1988,bidimensional,Jaime Valencia,obra
o.3379,Triciclo*Jaime Valencia*1989,1989,bidimensional,Jaime Valencia,obra
o.3492,Sin título*Ivan Rickermann*1997,1997,bidimensional,Ivan Rickermann,obra
o.2203,Nueva york 1974*Ignacio Gómez Pulido*1978,1978,bidimensional,Ignacio Gómez Pulido,obra
o.2204,"Bizi, 1975*Ignacio Gómez Pulido*1978",1978,bidimensional,Ignacio Gómez Pulido,obra
o.3975,Serie negros: paisaje*Hilda Crovo*1987,1987,bidimensional,Hilda Crovo,obra
o.3976,Serie negros: espacio*Hilda Crovo*1987,1987,bidimensional,Hilda Crovo,obra
o.2988,Bon jour mon amour*Herman Braun-Vega*1978,1978,bidimensional,Herman Braun-Vega,obra
o.3224,Sin título*Herman Braun-Vega*1986,1986,bidimensional,Herman Braun-Vega,obra
o.2618,Young lady*H. Yoshihara*1968,1968,bidimensional,H. Yoshihara,obra
o.2619,Finale of summer*H. Yoshihara*1967,1967,bidimensional,H. Yoshihara,obra
o.2159,Los tuiras de punta chame*Guillermo Trujillo*1980,1980,bidimensional,Guillermo Trujillo,obra
o.3051,Del portafolio: en busca de la metafora perdida*Guillermo Trujillo*1979,1979,bidimensional,Guillermo Trujillo,obra
o.2195,Dibujo no. 1*Gracia Barrios*1986,1986,bidimensional,Gracia Barrios,obra
o.2624,Pueblo*Gracia Barrios*1971,1971,bidimensional,Gracia Barrios,obra
o.1914,Jardin secreto*Gloria Duncan*1988,1988,tridimensional,Gloria Duncan,obra
o.3481,La adivina*Gloria Duncan*1997,1997,bidimensional,Gloria Duncan,obra
o.3537,"Pintura, dibujo y escultura*Germán Londoño*1998",1998,bidimensional,Germán Londoño,obra
o.4005,Niña contemplando una ballena descuartizada*Germán Londoño*1991,1991,bidimensional,Germán Londoño,obra
o.2843,Dos espacios*Gabriel Messil*1977,1977,bidimensional,Gabriel Messil,obra
o.3937,Dos formas*Gabriel Messil*1977,1977,bidimensional,Gabriel Messil,obra
o.2850,Sin título*Fernando Botero*1976,1976,bidimensional,Fernando Botero,obra
o.2925,Bodegón*Fernando Botero*1977,1977,bidimensional,Fernando Botero,obra
o.2867,Cinco*Fernando Maza*1977,1977,bidimensional,Fernando Maza,obra
o.3912,Playa grande*Fernando Maza*1968,1968,tridimensional,Fernando Maza,obra
o.3940,Que? -*Enrique Aguirrezabala*1977,1977,bidimensional,Enrique Aguirrezabala,obra
o.3941,Los maleficios de la luna llena*Enrique Aguirrezabala*1977,1977,bidimensional,Enrique Aguirrezabala,obra
