id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
186,4 maestros Latinoamericanos,1987,Agosto,Banco de la Republica,,"Programa de mano, Catálogo",Libro,Encolado,0,,,20.9,28,79,585.2,,,,
187,Andrés de Santa María,1987,Mayo,Bejamin Villegas Asosiados,Escala,"Catalogo, programa de mano",Libro,Encolado,0,,,21,23,44,483,,,si,
188,Museo de arte moderno La Tertulia 30 años,1986,Julio,,Feriva,Boletín,Plegable,,0,,,22,33,2,726,,,,
189,Darío Jimenez,1986,Marzo,Francesco Vásquez Marazzani,"Banco de la República, Departamento Editorial",Catalogo,Libro,Encolado,0,,,21,28,94,588,,,,
190,Marìa Cristina Cortés,1986,Junio,,Feriva,Programa de mano,Plegable,,0,,,21,21,6,441,,,,
191,Hernando Hoyos Pinturas,1988,Noviembre,,,Programa de mano,Poster,,0,,,17.3,27.3,2,472.29,,,,Es una versión recortada de un ¿plegable? ¿cuadernillo?
192,María Teresa Vieco,1989,Septiembre,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
193,Patricio Reig Isaacs Pinturas,1989,Octubre,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
194,Becky Mayer Tres Propuestas de fotografía,1989,Mayo,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
195,Patricia Tavera Pinturas,1989,Marzo,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
196,Karen Lamassone Pinturas,1989,Abril,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
197,Nancy Friedemann Paganos y Piadosos,1989,Marzo,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
198,Rafael Echeverri Pinturas y Consuelo Gómez Esculturas,1989,Septiembre,,Plenty Ltda.,"Programa de mano, Invitación",Plegable,,0,,,21.5,28,4,602,,,,
199,Actividades del museo de arte moderno la tertulia,1989,,,,Boletín,Plegable,,0,,,11.1,21.8,6,241.98,,,,
200,Ronald y Gloria Duncan Ceramicas,1989,Enero,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
201,Leo Matiz 50 Años de Fotografía,1989,Mayo,Luz Stella Hernández P.,Plenty Ltda.,"Programa de mano, Catálogo",Librillo,Caballete,0,,,24,22.7,28,544.8,,,1,
202,II Salón de Arte Joven Marta Traba,1989,Noviembre,"Fernell Franco, Oscar Muñoz",Plenty Ltda.,"Programa de mano, Catálogo",Librillo,Grapa lateral,0,,,21.4,21.7,100,464.38,,,,
203,Negrita,2011,Mayo,Cactus,,Invitación,Volante,,1,,,14,21.5,2,301,,,,
204,Negrita,2011,Mayo,Cactus,,Programa de mano,Plegable,,1,,,15,21,6,315,,,,
205,Papel,2011,Diciembre,Cactus,Feriva,Catálogo,Carpeta,caja,1,,,23.5,33,26,775.5,,,,No está en los archivos de cactus. Buscar mejor
206,Hernando Tejada Exposición de Relieves,1965,Abril,,,"Catálogo, Invitación", ,,1,,,,,,0,,d50.pdf,,
207,Beatriz González,1965,Diciembre,,,"Catálogo, Invitación",Plegable,,1,,,9.9,21.9,4,216.81,,d51.pdf,,
208,Pedro Alcantara,1965,Diciembre,,,"Programa de mano, Invitación", ,,1,,,,,,0,,d52.pdf,,
209,"Graciela Bermudez, Sofía Urrutia Tapices Oleos",1966,Marzo,,,"Catálogo, Invitación",Plegable,,1,,,11.5,15.8,4,181.7,,d53.pdf,,
210,Maria Thereza Negreiros,1967,Enero,,,Catálogo,Plegable,,1,,,18.7,20.9,4,390.83,,d54.pdf,,
211,Alejandro Obregón,1967,Julio,,,Catálogo,Plegable,,0,,,10,27.2,4,272,,d55.pdf,,
212,20 Dibujos de Luis Caballero,1967,Septiembre,,,Programa de mano, ,,1,,,,,,0,,d56.pdf,,
213,Manzur,1967,Noviembre,,,"Programa de mano, Catálogo",Plegable,,1,,,21.2,16.6,7,351.92,,d57.pdf,,
214,Isabel Cuervo,1967,Diciembre,,,"Programa de mano, Catálogo",Plegable,,1,,,11.9,16.1,8,191.59,,d58.pdf,,
215,Lucy Tejada,1967,Febrero,,,Catálogo, ,,1,,,,,,0,,d59.pdf,,
216,XV Salón de Artistas Colombianos ,1963,Noviembre,,,Catálogo,Plegable,,1,,,12.2,19.9,8,242.78,,d60.pdf,,
217,Beatriz González : El segundo original,2016,Marzo,Cactus,VMG producción y logística,Catálogo,Librillo,Caballete,1,,,8.5,11.5,40,97.75,,,,
218,La Guerra que no hemos visto,2011,Diciembre,Cactus,,Programa de mano,Plegable,,1,,,14,28,6,392,,,,
219,Noche es Día,2015,Diciembre,Cactus,,Programa de mano,Plegable,,1,,,17,23.5,8,399.5,,,,
220,Acueductos: Rosario López,2014,Mayo,Cactus,,Programa de mano,Plegable,,1,,,17,24,8,408,,d226.pdf,,
