id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,rol_expo,nombre_registro_agente,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_agente_inicia,ano_agente_fin,sexo,nacionalidad_agente,pais_nacimiento,ciudad_nacimiento,obra_en_coleccion_MTL,tipo_agente,id_organizaciones
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Adriano Moreno,2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,José Luis de Figueroa,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Fritz Seifert,2747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Libardo Lozano G.,3273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
42,43,A. Rivera G.,1960-05-06,1960-05-14,8,Casona San Antonio,NA,individual,artista,Augusto Rivera,218,Augusto,Rivera,NA,NA,NA,NA,NA,Colombia,NA,NA,2,persona,NA
43,44,Oleos recientes de Marielle Muheim,1960-06-07,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Marielle Muheim,1184,Marielle,Muheim,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
44,45,Hernando Tejada,1960-06-17,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Hernando Tejada,23,Hernando,Tejada,NA,NA,1924,1999,M,Colombia,Colombia,Pereira,11,persona,NA
45,46,Jan Palmer y S. Crawford,1960-07-01,1960-07-15,14,Casona San Antonio,NA,colectiva,artista,Jan Palmer,1456,Jan,Palmer,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
45,46,Jan Palmer y S. Crawford,1960-07-01,1960-07-15,14,Casona San Antonio,NA,colectiva,artista,S. Crawford,858,S.,Crawford,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
46,47,Sessano,1960-07-12,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Carlos Sessano,1998,Carlos,Sessano,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
47,48,Samuel Montealegre dibujos,1960-11-04,1960-11-15,11,Casona San Antonio,NA,individual,artista,Samuel Montealegre,272,Samuel,Montealegre,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
48,49,Leandro Velasco,1960-11-15,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Leandro Velasco,1300,Leandro,Velasco,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
48,49,Leandro Velasco,1960-11-15,1900-01-01,NA,Casona San Antonio,NA,individual,auspiciador,Dirección de Bellas Artes y Extensión Cultural del Valle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,organizacion,153
49,50,Elio Berhanyer,1960-12-29,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Elio Berhanyer,1794,Elio,Berhanyer,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
49,50,Elio Berhanyer,1960-12-29,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Sacerdote Sendoya,3272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
51,51,Óleos,1961-01-20,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Saúl Balagura,848,Saúl,Balagura,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
