"","agente","rol"
"642","Miguel Huertas","artista"
"643","Gina Pellón","artista"
"644","Nelson Villalobo","artista"
"645","Tonel","artista"
"646","Agustín Cárdenas","artista"
"647","Catalina Cárdenas","artista"
"648","Armin Tröger","artista"
"649","Luis Guillermo Botero","artista"
"650","Nancy Friedemann","artista"
"651","Rafael Panizza","artista"
"652","Rodolfo Vélez","artista"
"653","Fernando Martínez Sanabria","artista"
"654","Beatriz Duque","artista"
"655","Francisco Rodón","artista"
"656","Juan Antonio Roda","artista"
"657","Carlos Gómez","artista"
"658","Adalberto Jiménez","artista"
"659","Édgar Plata","artista"
"660","Mario Zabaleta","artista"
"661","Vicky Neumann","artista"
"662","Catalina Mejía","artista"
"663","Linda Troeller","artista"
"664","Rafael Alvarez Salas","artista"
"665","Arturo Arcila Uribe","artista"
"666","Rafael Borrero Vergara","artista"
"667","Francisco Ospina Bernal","artista"
"668","M. M. Mosquera","artista"
"669","G. A. Garrrido","artista"
"670","E. Goemann","artista"
"671","Francisco J. Jaramillo","artista"
"672","Mariluz Álvarez","artista"
"673","Patricia Bravo","artista"
"674","Adolfo Cifuentes","artista"
"675","María José Morales","artista"
"676","Ana Claudia Múnera","artista"
"677","Luis Ospina","artista"
"678","Gloria Posada","artista"
"679","Luis Rincón","artista"
"680","Víctor Robledo","artista"
"681","Luis Fernando Sepúlveda","artista"
"682","Alfonso Suárez","artista"
"683","Jim Amaral","artista"
"684","Marco Tobón Mejía","artista"
"685","Luis Núñez Borda","artista"
"686","Ricardo Borrero","artista"
"687","Jesús María Zamora","artista"
"688","Domingo Moreno Otero","artista"
"689","Alfonso Quijano Acero","artista"
"690","Augusto Rendón","artista"
"691","Miguel Böhmer","artista"
"692","María Teresa Cano","artista"
"693","María Fernanda Cardoso","artista"
"694","Rodrigo Facundo","artista"
"695","Carolina Franco","artista"
"696","Rafael Ortiz","artista"
"697","Eduardo Pradilla","artista"
"698","José Clemente Rodríguez","artista"
"699","Pablo O'higgins","artista"
"700","Jorge Julián Aristizábal","artista"
"701","Armando Londoño","artista"
"702","Carlos Jacanamijoy Tisoy","artista"
"703","Jorge Acero","artista"
"704","Wilson Díaz","curador-artista"
"705","John Edward González","artista"
"706","Bernado Salcedo","artista"
"707","Jonier Muñoz","artista"
"708","Miguel Bresciano","artista"
"709","Anselmo Carrera Rojas","artista"
"710","Lorenzo Jaramillo","artista"
"711","Luis Camnitzer","artista"
"712","Ronier Marín","artista"
"713","Santiago Martínez Delgado","artista"
"714","Boro","artista"
"715","Rolando Peña","artista"
"716","Augusto Rivera","artista"
"717","Juan Mejía","curador-artista"
"718","Leonel Galeano","artista"
"719","Mario Opazo","artista"
"720","Lucas Ospina","curador-artista"
"721","Miguel Ángel Reyes","artista"
"722","Jorge Julián Aristizabal","artista"
"723","Carlos Jacanamijoy","artista"
"724","Gaspard-Félix Tournachon","artista"
"725","Isabel Arroyo","artista"
"726","Janeth Blanco","artista"
"727","Astrid Campo","artista"
"728","María del Carmen Espinoza","artista"
"729","Fernando Hidalgo","artista"
"730","Juan David Medina","artista"
"731","Carlos Fernando Quintero","artista"
"732","Guillermo Marín","artista"
"733","Estrella Murillo","artista"
"734","Diego Pombo","artista"
"735","Martha Posso","artista"
"736","Albeiro Sarria","artista"
"737","Claudia Victoria","artista"
"738","Olga Silva","artista"
"739","Roddolfo Vélez","artista"
"740","Liliana Villegas","artista"
"741","Andrea Valencia","artista"
"742","César Alfaro Mosquera","artista"
"743","Carlos Andrade","artista"
"744","Carlos Blanco","artista"
"745","Johanna Calle","artista"
"746","Raúl Cristancho","artista"
"747","Jaime Franco","artista"
"748","Olga Lucia Garcia","artista"
"749","Luz Ángela Lizarazo","artista"
"750","Delcy Morelos","artista"
"751","Beltrán Obregón","artista"
"752","Gabriel Silva Rubio","artista"
"753","Fernando Uhía","artista"
"754","Esteban Villa","artista"
"755","María Menujin","artista"
"756","Alberto Arboleda","artista"
"757","Enrique Tábara","artista"
"758","Luis Molinari-Flores","artista"
"759","Gerardo Chávez","artista"
"760","Arturo Kubotta","artista"
"761","Julio Camino","artista"
"762","Tadeo Castro","artista"
"763","Eduardo Cervantes","artista"
"764","Alberto Baraya","artista"
"765","Juan Pablo Fajardo","curador-artista"
"766","Andrés Fresneda","curador-artista"
"767","Gina Lopez","artista"
"768","Ángel Reyes","artista"
"769","Miguel Bohmer","artista"
"770","Luis Fernando Escobar","artista"
"771","Guillermo Trujillo","artista"
"772","Luis Alberto Solari","artista"
"773","Edith Behring","artista"
"774","María Luisa Beer","artista"
"775","Luis Gregorio Correia","artista"
"776","León Ferrari","artista"
"777","Anna Nella Greiger","artista"
"778","Clarisse Gueller","artista"
"779","Ana Letycia Quadros","artista"
"780","Arthur Luiz Piza","artista"
"781","Luis Eduardo Mondragón","artista"
"782","Leonardo Herrera","curador-artista"
"783","Mónica de Llano","artista"
"784","Francisco Camacho","artista"
"785","Giovanni Vargas","artista"
"786","Carolina Caicedo","artista"
"787","Marcela Gómez","artista"
"788","Grupo Nómada","artista"
"789","Alejandra Gutiérrez","artista"
"790","Juliana Guevara","artista"
"791","Diana Lasso","artista"
"792","Juan Melo","artista"
"793","Manuel Romero","artista"
"794","Fernando Pertuz","artista"
"795","Yury Hernando Forero","artista"
"796","Juan Fernando Toro","artista"
"797","Fabio Melecio Palacios","artista"
"798","Nini Bautista","artista"
"799","Alfonso Castillo","artista"
"800","Angela Baena","artista"
"801","Mauricio Corradini","artista"
"802","Javier Morales","artista"
"803","Fernando Olivella","artista"
"804","Carlos Ortega","artista"
"805","Paul Arias Silvia","artista"
"806","Aceneiba Sanches","artista"
"807","Grupo Semefo","artista"
"808","Hernán Braum-Vega","artista"
"809","Antonio Frasconi","artista"
"810","Jaime González","artista"
"811","Alonso Quijano","artista"
"812","Paul-Armand Gette","artista"
"813","Ana María Millán","artista"
"814","Claudia Patricia Sarria","artista"
"815","Ruth Bessoudo","artista"
"816","Luis Solari","artista"
"817","Eleonora Carrington","artista"
"818","Lorenzo Homar","artista"
"819","Jorge Reyes","artista"
"820","Ana Velasco","artista"
"821","Christian de Portzamparc","artista"
"822","Horst Janssen","artista"
"823","Luis Eduardo Borja","artista"
"824","Jorge González","artista"
"825","Cluck Close","artista"
"826","Francisco Rodon","artista"
"827","Carlos Arturo Zuñiga","artista"
"828","Liliana Cabrera","artista"
"829","Silvie Boutiq","artista"
"830","Boris Pérez","artista"
"831","Boris Marlon Galvis","artista"
"832","Humberto Polar","artista"
"833","Los Lichis","artista"
"834","Gina Arizpe","artista"
"835","Marcela Quiroga","artista"
"836","Las Malas Amistades","artista"
"837","Yuri Forero","artista"
"838","Jairo Pinilla","artista"
"839","Gloria Duncan","artista"
"840","Ernesto Barreda","artista"
"841","Antonio Varela","artista"
"842","Lidya Azout","artista"
