id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
98,98,Pedro Alcántara,1965-12-17,1965-12-30,13,Casona San Antonio,NA,individual,98-Pedro Alcántara-1965,1965,NA,NA,NA,NA
99,99,Exposición de joyas y esmaltes bolivianos y piedras del Lago Titicaca,1965-12-20,1900-01-01,NA,Casona San Antonio,NA,colectiva,99-Exposición de joyas y esmaltes bolivianos y piedras del Lago Titicaca-1965,1965,NA,NA,NA,NA
100,100,Exposición sobre el libro francés,1966-02-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,100-Exposición sobre el libro francés-1966,1966,NA,NA,NA,NA
101,101,Sofía Urrutia y Graciela Samper de Bermudez,1966-03-25,1900-01-01,NA,Casona San Antonio,NA,colectiva,101-Sofía Urrutia y Graciela Samper de Bermudez-1966,1966,NA,NA,NA,NA
102,102,Antonio Grass Óleo,1966-04-29,1900-01-01,NA,Casona San Antonio,NA,individual,102-Antonio Grass Óleo-1966,1966,NA,NA,NA,NA
103,103,Lamiel,1966-05-20,1966-05-30,10,Casona San Antonio,NA,individual,103-Lamiel-1966,1966,NA,NA,NA,NA
104,104,Jaime Mendoza,1966-06-03,1966-07-03,30,Casona San Antonio,NA,individual,104-Jaime Mendoza-1966,1966,NA,NA,NA,NA
105,105,Ómar Rayo,1966-06-20,1900-01-01,NA,Casona San Antonio,NA,individual,105-Ómar Rayo-1966,1966,NA,NA,NA,NA
106,106,Gerardo Ravassa,1966-07-08,1900-01-01,NA,Casona San Antonio,NA,individual,106-Gerardo Ravassa-1966,1966,NA,NA,NA,NA
107,107,Exposición de pintura infantil,1966-07-22,1900-01-01,NA,Casona San Antonio,NA,colectiva,107-Exposición de pintura infantil-1966,1966,NA,NA,NA,NA
108,108,Jan Bartelsman,1966-09-09,1900-01-01,NA,Casona San Antonio,NA,individual,108-Jan Bartelsman-1966,1966,NA,NA,NA,NA
109,109,Enrique Grau,1966-11-09,1900-01-01,NA,Casona San Antonio,NA,individual,109-Enrique Grau-1966,1966,NA,NA,NA,NA
110,110,Mario Abreu,1966-11-18,1966-11-30,12,Casona San Antonio,NA,individual,110-Mario Abreu-1966,1966,NA,NA,NA,NA
