"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini","ano_decimal"
"225","Pierre Keller","Maríanne Eigenheer",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"226","Pierre Keller","Helmut Federle",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"227","Pierre Keller","Pierre Keller",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"228","Pierre Keller","Heiner Kielholz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"229","Pierre Keller","Lis Kocher",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"230","Pierre Keller","Urs Luthi",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"231","Pierre Keller","Chasper Otto Melcher",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"232","Pierre Keller","Markus Raetz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"233","Pierre Keller","Claude Sandoz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"234","Pierre Keller","Alex Silber",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"235","Pierre Keller","Urs Stoss",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"236","Pierre Keller","Hanna Villiger",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"237","Pierre Keller","Rolf Winnewiser",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"238","Pierre Keller","René Zäch",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"239","Miguel González","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01,1977.24657534247
"240","Miguel González","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01,1977.24657534247
"241","Miguel González","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01,1977.24657534247
"242","Miguel González","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01,1977.24657534247
